Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
06/17/2020,02/01/2020,06/13/2020,DE,New Castle County,10003,201,1902
06/17/2020,02/01/2020,06/13/2020,DE,Sussex County,10005,152,1022
06/17/2020,02/01/2020,06/13/2020,DC,District of Columbia,11001,443,2726
06/17/2020,02/01/2020,06/13/2020,FL,Alachua County,12001,23,1337
06/17/2020,02/01/2020,06/13/2020,FL,Brevard County,12009,14,2848
06/17/2020,02/01/2020,06/13/2020,FL,Broward County,12011,348,6161
06/17/2020,02/01/2020,06/13/2020,FL,Charlotte County,12015,62,1230
06/17/2020,02/01/2020,06/13/2020,FL,Citrus County,12017,10,1062
06/17/2020,02/01/2020,06/13/2020,FL,Clay County,12019,18,851
06/17/2020,02/01/2020,06/13/2020,FL,Collier County,12021,58,1488
06/17/2020,02/01/2020,06/13/2020,FL,Duval County,12031,57,3780
06/17/2020,02/01/2020,06/13/2020,FL,Escambia County,12033,41,1797
06/17/2020,02/01/2020,06/13/2020,FL,Hendry County,12051,10,72
06/17/2020,02/01/2020,06/13/2020,FL,Hillsborough County,12057,86,4730
06/17/2020,02/01/2020,06/13/2020,FL,Lake County,12069,22,1564
06/17/2020,02/01/2020,06/13/2020,FL,Lee County,12071,112,3064
06/17/2020,02/01/2020,06/13/2020,FL,Leon County,12073,21,1070
06/17/2020,02/01/2020,06/13/2020,FL,Manatee County,12081,123,1800
06/17/2020,02/01/2020,06/13/2020,FL,Martin County,12085,20,778
06/17/2020,02/01/2020,06/13/2020,FL,Miami-Dade County,12086,686,8702
06/17/2020,02/01/2020,06/13/2020,FL,Orange County,12095,63,3778
06/17/2020,02/01/2020,06/13/2020,FL,Osceola County,12097,25,958
06/17/2020,02/01/2020,06/13/2020,FL,Palm Beach County,12099,369,6398
06/17/2020,02/01/2020,06/13/2020,FL,Pasco County,12101,17,2496
06/17/2020,02/01/2020,06/13/2020,FL,Pinellas County,12103,90,4882
06/17/2020,02/01/2020,06/13/2020,FL,Polk County,12105,61,2751
06/17/2020,02/01/2020,06/13/2020,FL,St. Lucie County,12111,21,1318
06/17/2020,02/01/2020,06/13/2020,FL,Sarasota County,12115,74,2431
06/17/2020,02/01/2020,06/13/2020,FL,Volusia County,12127,40,2980
06/17/2020,02/01/2020,06/13/2020,GA,Baldwin County,13009,26,161
06/17/2020,02/01/2020,06/13/2020,GA,Barrow County,13013,11,158
06/17/2020,02/01/2020,06/13/2020,GA,Bartow County,13015,30,371
06/17/2020,02/01/2020,06/13/2020,GA,Bibb County,13021,49,1021
06/17/2020,02/01/2020,06/13/2020,GA,Butts County,13035,14,110
06/17/2020,02/01/2020,06/13/2020,GA,Carroll County,13045,33,439
06/17/2020,02/01/2020,06/13/2020,GA,Chatham County,13051,34,1303
06/17/2020,02/01/2020,06/13/2020,GA,Cherokee County,13057,17,472
06/17/2020,02/01/2020,06/13/2020,GA,Clarke County,13059,24,584
06/17/2020,02/01/2020,06/13/2020,GA,Clayton County,13063,19,471
06/17/2020,02/01/2020,06/13/2020,GA,Cobb County,13067,159,2042
06/17/2020,02/01/2020,06/13/2020,GA,Coffee County,13069,12,125
06/17/2020,02/01/2020,06/13/2020,GA,Colquitt County,13071,13,203
06/17/2020,02/01/2020,06/13/2020,GA,Crisp County,13081,11,128
06/17/2020,02/01/2020,06/13/2020,GA,DeKalb County,13089,102,1766
06/17/2020,02/01/2020,06/13/2020,GA,Dougherty County,13095,126,572
06/17/2020,02/01/2020,06/13/2020,GA,Early County,13099,12,54
06/17/2020,02/01/2020,06/13/2020,GA,Fayette County,13113,38,414
06/17/2020,02/01/2020,06/13/2020,GA,Floyd County,13115,23,568
06/17/2020,02/01/2020,06/13/2020,GA,Forsyth County,13117,16,560
06/17/2020,02/01/2020,06/13/2020,GA,Fulton County,13121,229,3171
06/17/2020,02/01/2020,06/13/2020,GA,Gordon County,13129,10,177
06/17/2020,02/01/2020,06/13/2020,GA,Gwinnett County,13135,98,1485
06/17/2020,02/01/2020,06/13/2020,GA,Habersham County,13137,10,151
06/17/2020,02/01/2020,06/13/2020,GA,Hall County,13139,52,970
06/17/2020,02/01/2020,06/13/2020,GA,Henry County,13151,22,661
06/17/2020,02/01/2020,06/13/2020,GA,Houston County,13153,25,477
06/17/2020,02/01/2020,06/13/2020,GA,Lowndes County,13185,13,382
06/17/2020,02/01/2020,06/13/2020,GA,Mitchell County,13205,13,72
06/17/2020,02/01/2020,06/13/2020,GA,Muscogee County,13215,43,996
06/17/2020,02/01/2020,06/13/2020,GA,Richmond County,13245,70,1359
06/17/2020,02/01/2020,06/13/2020,GA,Spalding County,13255,40,438
06/17/2020,02/01/2020,06/13/2020,GA,Sumter County,13261,23,133
06/17/2020,02/01/2020,06/13/2020,GA,Thomas County,13275,44,282
06/17/2020,02/01/2020,06/13/2020,GA,Tift County,13277,40,233
06/17/2020,02/01/2020,06/13/2020,GA,Troup County,13285,14,269
06/17/2020,02/01/2020,06/13/2020,GA,Upson County,13293,39,211
06/17/2020,02/01/2020,06/13/2020,GA,Walton County,13297,18,311
06/17/2020,02/01/2020,06/13/2020,GA,Ware County,13299,15,229
06/17/2020,02/01/2020,06/13/2020,HI,Honolulu County,15003,11,2997
06/17/2020,02/01/2020,06/13/2020,ID,Ada County,16001,26,1454
06/17/2020,02/01/2020,06/13/2020,ID,Nez Perce County,16069,17,221
06/17/2020,02/01/2020,06/13/2020,ID,Twin Falls County,16083,32,363
06/17/2020,02/01/2020,06/13/2020,IL,Champaign County,17019,11,658
06/17/2020,02/01/2020,06/13/2020,IL,Coles County,17029,13,228
06/17/2020,02/01/2020,06/13/2020,IL,Cook County,17031,3713,20333
06/17/2020,02/01/2020,06/13/2020,IL,DuPage County,17043,382,3143
06/17/2020,02/01/2020,06/13/2020,IL,Jackson County,17077,19,244
06/17/2020,02/01/2020,06/13/2020,IL,Jefferson County,17081,13,206
06/17/2020,02/01/2020,06/13/2020,IL,Kane County,17089,191,1499
06/17/2020,02/01/2020,06/13/2020,IL,Kankakee County,17091,56,528
06/17/2020,02/01/2020,06/13/2020,IL,Lake County,17097,283,2447
06/17/2020,02/01/2020,06/13/2020,IL,LaSalle County,17099,10,426
06/17/2020,02/01/2020,06/13/2020,IL,McDonough County,17109,16,128
06/17/2020,02/01/2020,06/13/2020,IL,McHenry County,17111,56,723
06/17/2020,02/01/2020,06/13/2020,IL,McLean County,17113,16,514
06/17/2020,02/01/2020,06/13/2020,IL,Macon County,17115,19,500
06/17/2020,02/01/2020,06/13/2020,IL,Madison County,17119,47,1070
06/17/2020,02/01/2020,06/13/2020,IL,Peoria County,17143,23,1167
06/17/2020,02/01/2020,06/13/2020,IL,Rock Island County,17161,24,615
06/17/2020,02/01/2020,06/13/2020,IL,St. Clair County,17163,93,1103
06/17/2020,02/01/2020,06/13/2020,IL,Sangamon County,17167,37,1071
06/17/2020,02/01/2020,06/13/2020,IL,Will County,17197,242,2001
06/17/2020,02/01/2020,06/13/2020,IL,Winnebago County,17201,95,1378
06/17/2020,02/01/2020,06/13/2020,IN,Allen County,18003,95,1687
06/17/2020,02/01/2020,06/13/2020,IN,Bartholomew County,18005,44,371
06/17/2020,02/01/2020,06/13/2020,IN,Boone County,18011,28,187
06/17/2020,02/01/2020,06/13/2020,IN,Clark County,18019,34,408
06/17/2020,02/01/2020,06/13/2020,IN,Dearborn County,18029,18,159
06/17/2020,02/01/2020,06/13/2020,IN,Decatur County,18031,18,117
06/17/2020,02/01/2020,06/13/2020,IN,Delaware County,18035,36,624
06/17/2020,02/01/2020,06/13/2020,IN,Elkhart County,18039,27,690
06/17/2020,02/01/2020,06/13/2020,IN,Floyd County,18043,46,400
06/17/2020,02/01/2020,06/13/2020,IN,Grant County,18053,22,286
06/17/2020,02/01/2020,06/13/2020,IN,Greene County,18055,23,109
06/17/2020,02/01/2020,06/13/2020,IN,Hamilton County,18057,81,857
06/17/2020,02/01/2020,06/13/2020,IN,Hancock County,18059,23,238
06/17/2020,02/01/2020,06/13/2020,IN,Harrison County,18061,11,125
06/17/2020,02/01/2020,06/13/2020,IN,Hendricks County,18063,97,612
06/17/2020,02/01/2020,06/13/2020,IN,Howard County,18067,24,440
06/17/2020,02/01/2020,06/13/2020,IN,Johnson County,18081,75,497
06/17/2020,02/01/2020,06/13/2020,IN,Lake County,18089,262,2522
06/17/2020,02/01/2020,06/13/2020,IN,La Porte County,18091,22,463
06/17/2020,02/01/2020,06/13/2020,IN,Lawrence County,18093,23,169
06/17/2020,02/01/2020,06/13/2020,IN,Madison County,18095,63,558
06/17/2020,02/01/2020,06/13/2020,IN,Marion County,18097,665,4274
06/17/2020,02/01/2020,06/13/2020,IN,Monroe County,18105,25,537
06/17/2020,02/01/2020,06/13/2020,IN,Montgomery County,18107,16,133
06/17/2020,02/01/2020,06/13/2020,IN,Morgan County,18109,22,220
06/17/2020,02/01/2020,06/13/2020,IN,Newton County,18111,10,40
06/17/2020,02/01/2020,06/13/2020,IN,Noble County,18113,17,160
06/17/2020,02/01/2020,06/13/2020,IN,Orange County,18117,15,68
06/17/2020,02/01/2020,06/13/2020,IN,Porter County,18127,30,637
06/17/2020,02/01/2020,06/13/2020,IN,St. Joseph County,18141,46,1132
06/17/2020,02/01/2020,06/13/2020,IN,Shelby County,18145,16,155
06/17/2020,02/01/2020,06/13/2020,IN,Tippecanoe County,18157,15,592
06/17/2020,02/01/2020,06/13/2020,IN,Vanderburgh County,18163,22,1027
06/17/2020,02/01/2020,06/13/2020,IN,Vigo County,18167,16,516
06/17/2020,02/01/2020,06/13/2020,IN,Warrick County,18173,16,359
06/17/2020,02/01/2020,06/13/2020,IA,Black Hawk County,19013,45,539
06/17/2020,02/01/2020,06/13/2020,IA,Dallas County,19049,19,158
06/17/2020,02/01/2020,06/13/2020,IA,Dubuque County,19061,20,361
06/17/2020,02/01/2020,06/13/2020,IA,Jasper County,19099,13,122
06/17/2020,02/01/2020,06/13/2020,IA,Johnson County,19103,31,633
06/17/2020,02/01/2020,06/13/2020,IA,Linn County,19113,75,798
06/17/2020,02/01/2020,06/13/2020,IA,Mahaska County,19123,11,94
06/17/2020,02/01/2020,06/13/2020,IA,Muscatine County,19139,28,135
06/17/2020,02/01/2020,06/13/2020,IA,Polk County,19153,167,1905
06/17/2020,02/01/2020,06/13/2020,IA,Scott County,19163,12,712
06/17/2020,02/01/2020,06/13/2020,IA,Tama County,19171,16,66
06/17/2020,02/01/2020,06/13/2020,IA,Woodbury County,19193,61,509
06/17/2020,02/01/2020,06/13/2020,KS,Finney County,20055,12,89
06/17/2020,02/01/2020,06/13/2020,KS,Ford County,20057,10,96
06/17/2020,02/01/2020,06/13/2020,KS,Johnson County,20091,61,1560
06/17/2020,02/01/2020,06/13/2020,KS,Sedgwick County,20173,34,2133
06/17/2020,02/01/2020,06/13/2020,KS,Shawnee County,20177,12,854
06/17/2020,02/01/2020,06/13/2020,KS,Wyandotte County,20209,63,730
06/17/2020,02/01/2020,06/13/2020,KY,Campbell County,21037,29,277
06/17/2020,02/01/2020,06/13/2020,KY,Daviess County,21059,12,472
06/17/2020,02/01/2020,06/13/2020,KY,Fayette County,21067,13,1787
06/17/2020,02/01/2020,06/13/2020,KY,Graves County,21083,22,160
06/17/2020,02/01/2020,06/13/2020,KY,Hopkins County,21107,29,270
06/17/2020,02/01/2020,06/13/2020,KY,Jefferson County,21111,196,3688
06/17/2020,02/01/2020,06/13/2020,KY,Kenton County,21117,33,619
06/17/2020,02/01/2020,06/13/2020,KY,Warren County,21227,26,577
06/17/2020,02/01/2020,06/13/2020,LA,Acadia Parish,22001,14,201
06/17/2020,02/01/2020,06/13/2020,LA,Ascension Parish,22005,22,203
06/17/2020,02/01/2020,06/13/2020,LA,Bossier Parish,22015,22,336
06/17/2020,02/01/2020,06/13/2020,LA,Caddo Parish,22017,224,1427
06/17/2020,02/01/2020,06/13/2020,LA,Calcasieu Parish,22019,43,885
06/17/2020,02/01/2020,06/13/2020,LA,East Baton Rouge Parish,22033,358,2246
06/17/2020,02/01/2020,06/13/2020,LA,Iberia Parish,22045,29,308
06/17/2020,02/01/2020,06/13/2020,LA,Jefferson Parish,22051,590,2393
06/17/2020,02/01/2020,06/13/2020,LA,Lafayette Parish,22055,63,971
06/17/2020,02/01/2020,06/13/2020,LA,Lafourche Parish,22057,80,389
06/17/2020,02/01/2020,06/13/2020,LA,Lincoln Parish,22061,23,186
06/17/2020,02/01/2020,06/13/2020,LA,Natchitoches Parish,22069,11,116
06/17/2020,02/01/2020,06/13/2020,LA,Orleans Parish,22071,338,1704
06/17/2020,02/01/2020,06/13/2020,LA,Ouachita Parish,22073,56,701
06/17/2020,02/01/2020,06/13/2020,LA,Pointe Coupee Parish,22077,13,93
06/17/2020,02/01/2020,06/13/2020,LA,Rapides Parish,22079,54,726
06/17/2020,02/01/2020,06/13/2020,LA,St. Bernard Parish,22087,13,94
06/17/2020,02/01/2020,06/13/2020,LA,St. Charles Parish,22089,25,162
06/17/2020,02/01/2020,06/13/2020,LA,St. James Parish,22093,11,53
06/17/2020,02/01/2020,06/13/2020,LA,St. John the Baptist Parish,22095,26,129
06/17/2020,02/01/2020,06/13/2020,LA,St. Landry Parish,22097,41,355
06/17/2020,02/01/2020,06/13/2020,LA,St. Martin Parish,22099,13,146
06/17/2020,02/01/2020,06/13/2020,LA,St. Mary Parish,22101,20,177
06/17/2020,02/01/2020,06/13/2020,LA,St. Tammany Parish,22103,156,1073
06/17/2020,02/01/2020,06/13/2020,LA,Tangipahoa Parish,22105,29,471
06/17/2020,02/01/2020,06/13/2020,LA,Terrebonne Parish,22109,45,428
06/17/2020,02/01/2020,06/13/2020,LA,Washington Parish,22117,21,165
06/17/2020,02/01/2020,06/13/2020,LA,Webster Parish,22119,10,165
06/17/2020,02/01/2020,06/13/2020,ME,Cumberland County,23005,61,1486
06/17/2020,02/01/2020,06/13/2020,ME,Waldo County,23027,16,120
06/17/2020,02/01/2020,06/13/2020,MD,Allegany County,24001,17,406
06/17/2020,02/01/2020,06/13/2020,MD,Anne Arundel County,24003,234,1952
06/17/2020,02/01/2020,06/13/2020,MD,Baltimore County,24005,405,3688
06/17/2020,02/01/2020,06/13/2020,MD,Calvert County,24009,12,238
06/17/2020,02/01/2020,06/13/2020,MD,Carroll County,24013,119,759
06/17/2020,02/01/2020,06/13/2020,MD,Cecil County,24015,26,384
06/17/2020,02/01/2020,06/13/2020,MD,Charles County,24017,74,426
06/17/2020,02/01/2020,06/13/2020,MD,Frederick County,24021,116,905
06/17/2020,02/01/2020,06/13/2020,MD,Harford County,24025,50,837
06/17/2020,02/01/2020,06/13/2020,MD,Howard County,24027,54,733
06/17/2020,02/01/2020,06/13/2020,MD,Kent County,24029,22,133
06/17/2020,02/01/2020,06/13/2020,MD,Montgomery County,24031,830,3611
06/17/2020,02/01/2020,06/13/2020,MD,Prince George's County,24033,417,2516
06/17/2020,02/01/2020,06/13/2020,MD,St. Mary's County,24037,41,348
06/17/2020,02/01/2020,06/13/2020,MD,Talbot County,24041,13,250
06/17/2020,02/01/2020,06/13/2020,MD,Washington County,24043,21,682
06/17/2020,02/01/2020,06/13/2020,MD,Wicomico County,24045,40,545
06/17/2020,02/01/2020,06/13/2020,MD,Worcester County,24047,24,260
06/17/2020,02/01/2020,06/13/2020,MD,Baltimore city,24510,404,3666
06/17/2020,02/01/2020,06/13/2020,MA,Barnstable County,25001,114,1155
06/17/2020,02/01/2020,06/13/2020,MA,Berkshire County,25003,39,615
06/17/2020,02/01/2020,06/13/2020,MA,Bristol County,25005,443,2374
06/17/2020,02/01/2020,06/13/2020,MA,Essex County,25009,877,3631
06/17/2020,02/01/2020,06/13/2020,MA,Franklin County,25011,29,251
06/17/2020,02/01/2020,06/13/2020,MA,Hampden County,25013,585,2611
06/17/2020,02/01/2020,06/13/2020,MA,Hampshire County,25015,88,570
06/17/2020,02/01/2020,06/13/2020,MA,Middlesex County,25017,1640,5925
06/17/2020,02/01/2020,06/13/2020,MA,Norfolk County,25021,663,2824
06/17/2020,02/01/2020,06/13/2020,MA,Plymouth County,25023,521,2277
06/17/2020,02/01/2020,06/13/2020,MA,Suffolk County,25025,1104,4040
06/17/2020,02/01/2020,06/13/2020,MA,Worcester County,25027,822,3703
06/17/2020,02/01/2020,06/13/2020,MI,Bay County,26017,18,524
06/17/2020,02/01/2020,06/13/2020,MI,Berrien County,26021,40,646
06/17/2020,02/01/2020,06/13/2020,MI,Calhoun County,26025,19,595
06/17/2020,02/01/2020,06/13/2020,MI,Genesee County,26049,238,2074
06/17/2020,02/01/2020,06/13/2020,MI,Hillsdale County,26059,22,182
06/17/2020,02/01/2020,06/13/2020,MI,Ingham County,26065,45,1212
06/17/2020,02/01/2020,06/13/2020,MI,Jackson County,26075,41,704
06/17/2020,02/01/2020,06/13/2020,MI,Kalamazoo County,26077,64,1160
06/17/2020,02/01/2020,06/13/2020,MI,Kent County,26081,102,2283
06/17/2020,02/01/2020,06/13/2020,MI,Lapeer County,26087,31,346
06/17/2020,02/01/2020,06/13/2020,MI,Livingston County,26093,28,538
06/17/2020,02/01/2020,06/13/2020,MI,Macomb County,26099,589,3722
06/17/2020,02/01/2020,06/13/2020,MI,Marquette County,26103,12,253
06/17/2020,02/01/2020,06/13/2020,MI,Muskegon County,26121,41,727
06/17/2020,02/01/2020,06/13/2020,MI,Oakland County,26125,1148,5983
06/17/2020,02/01/2020,06/13/2020,MI,Ottawa County,26139,30,736
06/17/2020,02/01/2020,06/13/2020,MI,Saginaw County,26145,124,1093
06/17/2020,02/01/2020,06/13/2020,MI,St. Clair County,26147,35,622
06/17/2020,02/01/2020,06/13/2020,MI,Shiawassee County,26155,19,270
06/17/2020,02/01/2020,06/13/2020,MI,Tuscola County,26157,12,171
06/17/2020,02/01/2020,06/13/2020,MI,Washtenaw County,26161,215,1591
06/17/2020,02/01/2020,06/13/2020,MI,Wayne County,26163,1922,9044
06/17/2020,02/01/2020,06/13/2020,MN,Anoka County,27003,97,882
06/17/2020,02/01/2020,06/13/2020,MN,Clay County,27027,23,135
06/17/2020,02/01/2020,06/13/2020,MN,Dakota County,27037,41,877
06/17/2020,02/01/2020,06/13/2020,MN,Hennepin County,27053,632,4602
06/17/2020,02/01/2020,06/13/2020,MN,Olmsted County,27109,18,756
06/17/2020,02/01/2020,06/13/2020,MN,Ramsey County,27123,217,2132
06/17/2020,02/01/2020,06/13/2020,MN,St. Louis County,27137,18,1036
06/17/2020,02/01/2020,06/13/2020,MN,Stearns County,27145,21,673
06/17/2020,02/01/2020,06/13/2020,MN,Washington County,27163,21,581
06/17/2020,02/01/2020,06/13/2020,MN,Winona County,27169,17,147
06/17/2020,02/01/2020,06/13/2020,MS,Adams County,28001,17,148
06/17/2020,02/01/2020,06/13/2020,MS,Attala County,28007,11,96
06/17/2020,02/01/2020,06/13/2020,MS,Bolivar County,28011,10,134
06/17/2020,02/01/2020,06/13/2020,MS,DeSoto County,28033,15,541
06/17/2020,02/01/2020,06/13/2020,MS,Forrest County,28035,71,616
06/17/2020,02/01/2020,06/13/2020,MS,Hinds County,28049,115,1657
06/17/2020,02/01/2020,06/13/2020,MS,Jackson County,28059,17,604
06/17/2020,02/01/2020,06/13/2020,MS,Jones County,28067,31,291
06/17/2020,02/01/2020,06/13/2020,MS,Lafayette County,28071,18,288
06/17/2020,02/01/2020,06/13/2020,MS,Lamar County,28073,10,192
06/17/2020,02/01/2020,06/13/2020,MS,Lauderdale County,28075,119,574
06/17/2020,02/01/2020,06/13/2020,MS,Lee County,28081,44,792
06/17/2020,02/01/2020,06/13/2020,MS,Leflore County,28083,38,208
06/17/2020,02/01/2020,06/13/2020,MS,Lincoln County,28085,20,148
06/17/2020,02/01/2020,06/13/2020,MS,Madison County,28089,10,392
06/17/2020,02/01/2020,06/13/2020,MS,Monroe County,28095,20,145
06/17/2020,02/01/2020,06/13/2020,MS,Oktibbeha County,28105,10,107
06/17/2020,02/01/2020,06/13/2020,MS,Pike County,28113,11,195
06/17/2020,02/01/2020,06/13/2020,MS,Warren County,28149,16,205
06/17/2020,02/01/2020,06/13/2020,MO,Franklin County,29071,11,347
06/17/2020,02/01/2020,06/13/2020,MO,Greene County,29077,10,1554
06/17/2020,02/01/2020,06/13/2020,MO,Jackson County,29095,47,2875
06/17/2020,02/01/2020,06/13/2020,MO,Jefferson County,29099,12,555
06/17/2020,02/01/2020,06/13/2020,MO,St. Charles County,29183,57,1134
06/17/2020,02/01/2020,06/13/2020,MO,St. Louis County,29189,458,4991
06/17/2020,02/01/2020,06/13/2020,MO,St. Louis city,29510,114,1711
06/17/2020,02/01/2020,06/13/2020,NE,Adams County,31001,11,112
06/17/2020,02/01/2020,06/13/2020,NE,Buffalo County,31019,11,208
06/17/2020,02/01/2020,06/13/2020,NE,Douglas County,31055,57,1881
06/17/2020,02/01/2020,06/13/2020,NE,Hall County,31079,30,201
06/17/2020,02/01/2020,06/13/2020,NE,Hamilton County,31081,13,36
06/17/2020,02/01/2020,06/13/2020,NE,Lancaster County,31109,21,1039
06/17/2020,02/01/2020,06/13/2020,NV,Clark County,32003,340,7050
06/17/2020,02/01/2020,06/13/2020,NV,Washoe County,32031,69,1772
06/17/2020,02/01/2020,06/13/2020,NH,Hillsborough County,33011,198,1555
06/17/2020,02/01/2020,06/13/2020,NH,Merrimack County,33013,17,603
06/17/2020,02/01/2020,06/13/2020,NH,Rockingham County,33015,69,924
06/17/2020,02/01/2020,06/13/2020,NJ,Atlantic County,34001,151,1243
06/17/2020,02/01/2020,06/13/2020,NJ,Bergen County,34003,1869,5189
06/17/2020,02/01/2020,06/13/2020,NJ,Burlington County,34005,331,1671
06/17/2020,02/01/2020,06/13/2020,NJ,Camden County,34007,414,2730
06/17/2020,02/01/2020,06/13/2020,NJ,Cape May County,34009,53,448
06/17/2020,02/01/2020,06/13/2020,NJ,Cumberland County,34011,79,674
06/17/2020,02/01/2020,06/13/2020,NJ,Essex County,34013,1782,4752
06/17/2020,02/01/2020,06/13/2020,NJ,Gloucester County,34015,156,1169
06/17/2020,02/01/2020,06/13/2020,NJ,Hudson County,34017,986,2566
06/17/2020,02/01/2020,06/13/2020,NJ,Hunterdon County,34019,112,437
